Team;Full Team Name;Base;Team Chief;Technical Chief;Chassis;Power Unit
Mercedes;Mercedes-AMG Petronas Formula One Team;Brackley, United Kingdom;Toto Wolff;Mike Elliott;W12;Mercedes
Red Bull Racing Honda;Red Bull Racing Honda;Milton Keynes, United Kingdom;Christian Horner;Pierre Waché;RB16B;Honda
Ferrari;Scuderia Ferrari;Maranello, Italy;Mattia Binotto;Enrico Cardile / Enrico Gualteri;SF21;Ferrari
McLaren Mercedes;McLaren F1 Team;Woking, United Kingdom;Andreas Seidl;James Key;MCL35M;Mercedes
Alpine Renault;Alpine F1 Team;Enstone, United Kingdom;Davide Brivio;Pat Fry / Remi Taffin;A521;Renault
AlphaTauri;Scuderia AlphaTauri;Faenza, Italy;Franz Tost;Jody Egginton;AT02;Honda
Aston Martin Mercedes;Aston Martin Cognizant Formula One Team;Silverstone, United Kingdom;Otmar Szafnauer;Andrew Green;AMR21;Mercedes
Williams;Williams Racing;Grove, United Kingdom;Jost Capito;François-Xavier Demaison;FW43B;Mercedes
Alfa Romeo;Alfa Romeo F1 Team ORLEN;Hinwil, Switzerland;Frédéric Vasseur;Jan Monchaux;C41;Ferrari
Haas;Uralkali Haas F1 Team;Kannapolis, United States;Guenther Steiner;Simone Resta;VF-21;Ferrari
